Size, NElem, NDOF, TPE, Area, CPU, epsilon_max, Sigma_1, Sigma_2, Sigma_3, Sigma_4, Sigma_5, Sigma_6
2, 1742, 7624, 5.28194095, 2953.2534076251, 0.34, 1.035, 224.09, 172.37, 132.76, 129.10, 52.81, 40.33
1, 6818, 28592, 5.30939251, 2953.2344601316, 1.31, 1.043, 383.80, 237.16, 201.11, 141.15, 79.56, 53.83 
0.5, 26939, 110390, 5.31514861, 2953.238889595, 5.09, 1.046, 365.21, 278.47, 203.28, 172.76, 130.04, 86.04
0.25, 106794, 432344, 5.31812500, 2953.2276004482, 19.84, 1.048, 381.46, 292.65, 215.02, 182.16, 201.75, 131.35
0.15, 293990, 1184584, 5.31862421, 2953.2323050882, 65.89, 1.049, 407.68, 315.37, 236.92, 192.06, 275.07, 180.39
0.1, 662621, 2663422, 5.31898525, 2953.2329464129, 160.09, 1.049, 426.71, 326.44, 240.98, 204.71, 350.20, 231.05
