Size, NElem, NDOF, TPE, Area, CPU, epsilon_max, Sigma_1, Sigma_2, Sigma_3, Sigma_4, Sigma_5, Sigma_6
2, 872, 5540, 5.115879, 2954.0844, 0.27, 1.000, 173.38, 148.00, 112.01, 85.78, 39.99, 41.63
1, 3818, 21510, 5.25096089, 2953.40545, 0.56, 1.031, 268.00, 236.33, 51.70, 146.77, 70.17, 45.99
0.5, 13190, 80512, 5.28650, 2953.2915, 2.27, 1.042, 338.4, 265.61, 203.43, 173.16, 114.12, 73.40
0.25, 51712, 312834, 5.30838411, 2953.26726, 8.3, 1.046, 377.39, 264.27, 207.56, 156.07, 179.40, 116.56
0.15, 140712, 848562, 5.31492525, 2953.243957, 25.44, 1.048, 416.16, 295.30, 226.6, 190.55, 245.38, 160.75
0.1, 313250, 1885952, 5.31736753, 2953.235524634, 66.97, 1.048, 405.75, 315.04, 225.59, 203.34, 315.25, 207.36
