Size, NElem, NDOF, TPE, Area, CPU, epsilon_max, Sigma_1, Sigma_2, Sigma_3, Sigma_4, Sigma_5, Sigma_6
2, 872, 5884, 5.30017902, 2953.254184, 0.345, 1.038, 173.53, 152.45, 110.51, 85.09, 35.81, 39.51
1, 3477, 22178, 5.312365, 2953.23446, 0.89, 1.044, 258.18, 223.26, 146.27, 137.68, 60.18, 47.32 
0.5, 13190, 81736, 5.31701884, 2953.22919780, 3.25, 1.047, 330.62, 259.75, 196.94, 167.63, 97.63, 69.44
0.25, 51712, 315432, 5.31853524, 2953.2276004482, 13.08, 1.048, 368.08, 256.76, 202.61, 151.85, 153.78, 101.09
0.15, 140712, 852888, 5.31884639, 2953.2323050882, 39.86, 1.049, 410.10, 293.58, 222.93, 185.78, 210.94, 136.11
0.1, 313250, 1892432, 5.31913227, 2953.2329464093, 99.94, 1.049, 404.29, 312.25, 225.06, 200.86, 270.03, 175.64
