Number of Elements, VM Stress bottom left, VM Stress bottom right, VM Stress top left, VM Stress top right
3454, 306.75,278.24, 507.70, 381.58
13093, 360.33, 306.23, 605.39, 503.75
51772, 365.49, 309.97, 631.52, 490.21
140703, 384.18, 328.67, 670.59, 532.19
313419, 383.20, 328.59, 681.73, 531.92
488208, 388.17, 328.56, 691.64, 534.24
554874, 386.93, 324.70, 693.91, 532.37
860509, 384.63, 323.96, 696.79, 530.99
