Size, NElem, NDOF, TPE, Area, CPU, epsilon_max, Sigma_1, Sigma_2, Sigma_3, Sigma_4, Sigma_5, Sigma_6
2, 1742, 2068, 4.65025096, 2953.9025143869, 0.28, 0.906, 255.36, 197.88, 139.73, 123.22, 62.28, 49.81
1, 6818, 7476, 5.10846975, 2953.4054514169, 0.80, 0.998, 414.92, 260.33, 231.88, 158.16, 100.12, 65.55
0.5, 26939, 28254, 5.25009372, 2953.2841812881, 2.75, 1.030, 407.27, 312.10, 226.53, 194.86, 166.70, 110.66
0.25, 106794, 109376, 5.29316853, 2953.2672648236, 11.03, 1.041, 414.56, 319.48, 235.56, 199.54, 259.45, 173.64
0.15, 293990, 298300, 5.30825331, 2953.2439575112, 30.28, 1.045, 436.78, 338.37, 254.86, 206.59, 352.82, 237.02
0.1, 662621, 669088, 5.313958801, 2953.2355246091, 70.75, 1.047, 456.86, 349.61, 256.12, 218.41, 448.01, 301.23
